응답자 ID,사용자 유형,사용 여부,사용 도구,활용 목적,사용 빈도,유용성 점수,신뢰도 점수,감정,의견
1,학생,예,Bing;Claude,에세이 평가,매일 사용,4.4,4.7,매우 긍정적,많이 도움이 되었어요.
2,학생,예,Claude,과제 확인,주 2~3회,4.4,4.3,부정적,시간이 절약돼요.
3,학생,예,Notion AI,번역;요약,주 2~3회,4.9,3.3,매우 긍정적,검증은 필요해요.
4,교사,예,Notion AI,수업 자료 제작,매일 사용,4.1,4.6,매우 부정적,
5,교사,예,ChatGPT;Claude;Gemini,번역,매일 사용,4.7,4.7,부정적,검증은 필요해요.
6,학생,예,Gemini,과제 확인,주 2~3회,4.1,3.1,부정적,교사도 활용 가치가 있어요.
7,교사,예,Bing,번역,거의 사용하지 않음,3.5,3.0,매우 부정적,
8,교사,예,Notion AI;Claude,번역,주 2~3회,3.5,3.9,중립,
9,교사,아니오,,,,,,중립,
10,교사,예,Claude,글쓰기 보조;에세이 평가,매일 사용,3.3,2.9,부정적,조심스럽지만 흥미로워요.
11,교사,예,Claude;Gemini,에세이 평가,매일 사용,4.4,3.8,중립,
12,교사,예,Bing;Notion AI,에세이 평가,주 1회 이하,4.9,4.4,매우 부정적,
13,교사,예,Claude;Bing;ChatGPT,요약;과제 확인,매일 사용,4.2,3.7,매우 긍정적,
14,교사,예,Claude,글쓰기 보조,거의 사용하지 않음,4.6,4.9,매우 부정적,
15,학생,예,Bing;Gemini;Notion AI,요약;과제 확인,주 2~3회,4.4,3.5,중립,과제 채점이 쉬워졌어요.
16,학생,예,Gemini,과제 확인,주 2~3회,4.2,2.5,매우 긍정적,많이 도움이 되었어요.
17,교사,예,Gemini,요약;과제 확인,주 2~3회,4.4,4.7,매우 부정적,과제 채점이 쉬워졌어요.
18,교사,예,Notion AI,수업 자료 제작;에세이 평가,거의 사용하지 않음,4.7,2.6,매우 긍정적,검증은 필요해요.
19,학생,예,Claude,요약;수업 자료 제작,주 2~3회,3.6,3.1,매우 긍정적,조금은 부정확해요.
20,학생,예,ChatGPT;Claude;Notion AI,수업 자료 제작,거의 사용하지 않음,4.0,4.7,매우 긍정적,많이 도움이 되었어요.
21,교사,예,Gemini;Notion AI,요약;에세이 평가,주 1회 이하,3.4,2.6,매우 부정적,검증은 필요해요.
22,학생,예,Claude;Bing,과제 확인,매일 사용,4.7,2.7,매우 긍정적,교사도 활용 가치가 있어요.
23,교사,예,Bing;ChatGPT;Gemini,수업 자료 제작,주 1회 이하,4.9,3.0,중립,조심스럽지만 흥미로워요.
24,학생,예,Notion AI;Gemini,글쓰기 보조,거의 사용하지 않음,4.2,3.9,매우 긍정적,교사도 활용 가치가 있어요.
25,교사,예,ChatGPT;Bing,번역;요약,거의 사용하지 않음,4.7,4.3,매우 부정적,
26,학생,예,Gemini;ChatGPT;Notion AI,글쓰기 보조;에세이 평가,주 2~3회,3.5,4.0,중립,시간이 절약돼요.
27,교사,예,ChatGPT,번역;글쓰기 보조,매일 사용,3.7,2.8,중립,과제 채점이 쉬워졌어요.
28,교사,예,ChatGPT,과제 확인,매일 사용,4.7,4.0,긍정적,많이 도움이 되었어요.
29,교사,예,Gemini,에세이 평가,주 2~3회,4.3,3.4,매우 부정적,
30,교사,아니오,,,,,,중립,
31,학생,아니오,,,,,,중립,
32,학생,아니오,,,,,,중립,
33,학생,아니오,,,,,,중립,
34,학생,예,Notion AI;Bing,요약;글쓰기 보조,거의 사용하지 않음,4.7,4.6,긍정적,과제 채점이 쉬워졌어요.
35,교사,예,Bing,에세이 평가,주 2~3회,3.8,3.2,매우 긍정적,
36,교사,예,Notion AI;Gemini;ChatGPT,번역,주 2~3회,4.2,5.0,매우 긍정적,조심스럽지만 흥미로워요.
37,교사,예,Notion AI;ChatGPT,과제 확인;요약,주 1회 이하,3.1,3.6,매우 부정적,
38,학생,예,Gemini,에세이 평가;글쓰기 보조,주 1회 이하,4.0,4.2,중립,시간이 절약돼요.
39,학생,예,Notion AI;Bing;Gemini,수업 자료 제작;과제 확인,매일 사용,3.6,3.0,매우 부정적,검증은 필요해요.
40,교사,예,Bing;Notion AI;Gemini,에세이 평가,매일 사용,3.6,4.2,매우 부정적,교사도 활용 가치가 있어요.
41,교사,예,Bing,글쓰기 보조,주 2~3회,5.0,4.0,매우 긍정적,교사도 활용 가치가 있어요.
42,교사,예,Bing,글쓰기 보조,거의 사용하지 않음,3.4,4.5,매우 부정적,교사도 활용 가치가 있어요.
43,학생,예,Claude;Gemini,과제 확인;에세이 평가,거의 사용하지 않음,4.7,3.9,긍정적,
44,교사,예,Gemini,에세이 평가;요약,주 1회 이하,3.9,4.3,긍정적,검증은 필요해요.
45,학생,예,Notion AI,에세이 평가,주 2~3회,3.1,3.5,매우 부정적,많이 도움이 되었어요.
46,학생,예,Claude;ChatGPT,수업 자료 제작;글쓰기 보조,주 1회 이하,3.6,3.5,부정적,교사도 활용 가치가 있어요.
47,교사,예,Notion AI;ChatGPT,번역;수업 자료 제작,주 2~3회,4.7,4.8,매우 부정적,조심스럽지만 흥미로워요.
48,학생,예,Bing;Notion AI,글쓰기 보조,주 1회 이하,3.8,3.0,중립,조심스럽지만 흥미로워요.
49,교사,예,Gemini;ChatGPT,글쓰기 보조;과제 확인,매일 사용,5.0,3.4,매우 긍정적,
50,학생,예,Bing,과제 확인,주 2~3회,3.5,3.7,매우 긍정적,교사도 활용 가치가 있어요.
